2023-09-22 02:58:13.854 [info] Log level: Info
2023-09-22 02:58:13.854 [info] Validating found git in: "git"
2023-09-22 02:58:13.854 [info] Using git "2.39.2" from "git"
2023-09-22 02:58:13.854 [info] > git rev-parse --show-toplevel [3ms]
2023-09-22 02:58:13.861 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 02:58:13.868 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 02:58:13.876 [info] > git rev-parse --show-toplevel [1ms]
2023-09-22 02:58:13.883 [info] > git rev-parse --show-toplevel [1ms]
2023-09-22 02:58:13.891 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 02:58:13.898 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 02:58:21.136 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 02:58:31.647 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 02:58:46.750 [info] > git rev-parse --show-toplevel [4ms]
2023-09-22 02:59:01.730 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 03:00:43.908 [info] > git rev-parse --show-toplevel [3ms]
2023-09-22 03:00:52.358 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 03:01:10.633 [info] > git rev-parse --show-toplevel [7ms]
2023-09-22 03:01:14.152 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 03:02:30.214 [info] > git rev-parse --show-toplevel [2ms]
2023-09-22 03:03:48.002 [info] > git rev-parse --show-toplevel [2ms]
